#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                         outfile|  2.14e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.87549231|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.28932845|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.50275669|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.17678748|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.99889721|   WEAK   
      rgb_lagged_sum|  25|   1000000|     100|0.88632215|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.39477926|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.06492550|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.77294444|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.99949029|   WEAK   
      rgb_lagged_sum|  30|   1000000|     100|0.49612140|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.01634982|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.95743887|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.09309332|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.76795595|  PASSED  
             dab_dct| 256|     50000|       1|0.94554169|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.03875993|  PASSED  
        dab_filltree|  32|  15000000|       1|0.68546636|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.62705293|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.85515579|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.53130642|  PASSED  
